domain_id	domain_name
502	Autotransporter
503	Pertactin
504	RNR_inhib
505	Glyco_hydro_70
506	Amidase_2
507	Lysyl_oxidase
508	NifU
509	Enterotoxin_b
510	Aminotran_3
511	Troponin
512	SET
513	IGF2_C
514	Hanta_nucleocap
515	CK_II_beta
516	PAN_1
517	Lipoprotein_11
518	Peptidase_S7
519	Flavi_NS2B
520	Flavi_DEAD
521	Glyco_hydro_3_C
522	Glyco_hydro_3
523	Fimbrial
524	bZIP_1
525	Surfac_D-trimer
526	PDZ
527	Peptidase_S41
528	UPAR_LY6
529	H_lectin
530	Peptidase_A4
531	BLUF
532	A2M_recep
533	HHA
534	PMEI
535	tRNA-synt_2
536	Hemagglutinin
537	Lipase_chap
538	IL7
539	GASA
540	DASH_Dad1
541	RRM_1
542	NOPS
543	Kunitz_legume
