id	groupid	userid	comment	date_created	proteins	link
92	304	1597	NULL	1262029372	1174,933,936,870,875,869,231,379	/compare.php?comparison=1174,933,936,870,875,869,231,379
93	304	1597	NULL	1262029400	1174,933,936,870,875,869	/compare.php?comparison=1174,933,936,870,875,869
94	304	1597	NULL	1262029424	1174,933,936,870,875,869	/compare.php?comparison=1174,933,936,870,875,869
95	318	1653	NULL	1265913979	26,1146,119,993,1099,1100	/compare.php?comparison=26,1146,119,993,1099,1100
96	318	1653	NULL	1265917993	850,391,361,332,1030,1172,116,158,979	/compare.php?comparison=850,391,361,332,1030,1172,116,158,979
97	318	1653	NULL	1265918177	1247,481	/compare.php?comparison=1247,481
98	328	1680	NULL	1268059667	927,923	/compare.php?comparison=927,923
99	332	1691	NULL	1268958776	684,1142,26,849,14,172,1153,140,1324,1344,1026,376,103,748,749,878,933,875,231,1120,1283,228,1086,1087,1088	/compare.php?comparison=684,1142,26,849,14,172,1153,140,1324,1344,1026,376,103,748,749,878,933,875,231,1120,1283,228,1086,1087,1088
100	332	1691	NULL	1268958927	1340,1188,1317,1327,902,1264,1308,1309,230,688,925,1055,522,229,1046,929,888,352,291,290,848,68,889,843,625	/compare.php?comparison=1340,1188,1317,1327,902,1264,1308,1309,230,688,925,1055,522,229,1046,929,888,352,291,290,848,68,889,843,625
101	332	1691	NULL	1268959939	322,320,704,567,568,569,330,327,328	/compare.php?comparison=322,320,704,567,568,569,330,327,328
102	332	1691	NULL	1268959946	275,964,976,977,969,968,276,227,971,226,963,970,975	/compare.php?comparison=275,964,976,977,969,968,276,227,971,226,963,970,975
103	336	1703	NULL	1269372451	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
104	336	1703	NULL	1269372455	1340,1188,1317,1327,902,1264	/compare.php?comparison=1340,1188,1317,1327,902,1264
105	318	1653	NULL	1271969590	26,119,1099,1100	/compare.php?comparison=26,119,1099,1100
106	347	1738	NULL	1272285534	1349	/compare.php?comparison=1349
107	352	1755	NULL	1281029222	689,383,233,1042,1266,904	/compare.php?comparison=689,383,233,1042,1266,904
108	352	1755	NULL	1281029568	1188,902,1195,114,926,924	/compare.php?comparison=1188,902,1195,114,926,924
109	386	1851	NULL	1283434234	889,747	/compare.php?comparison=889,747
110	404	1964	NULL	1287214557	1104,1041	/compare.php?comparison=1104,1041
111	404	1964	NULL	1287214760	1104,1041	/compare.php?comparison=1104,1041
112	438	2232	NULL	1297724549	705,706,707,708,213,381,382,101	/compare.php?comparison=705,706,707,708,213,381,382,101
113	438	2232	NULL	1297724915	355,356	/compare.php?comparison=355,356
114	451	2264	NULL	1301339407	861,862	/compare.php?comparison=861,862
