species_id	common_name	scientific_name	user_id
105	HIV-1		163
106	HIV-2		163
107	HTLV		163
108	Syrian hamster		177
109	Adenovirus Type 2		71
110	Bordetella pertussis		71
111	Rhizopus oryzae		71
112	Oryza sativa L.		219
113	Xenorhabdus		202
114	Xenorhabdus nematophila		202
115	Carp (Cyprinus carpio)		71
116	Staphylococcus aureus		71
117	Streptomyces peucetius		71
118	Rhodobacter sphaeroides		71
119	Brucella abortus		71
120	Macaca mulatta (Rhesus macaque)		71
121	Cellulomonas fumi		71
122	Candida tropicalis		71
123	Pig (Sus scrofa)		71
125	Common snowdrop (Galanthus nivalis)		71
126	Ctenocephalides felis (Cat flea)		71
127	Aspergillus fumigatus		71
128	Xenopus laevis		237
129	Oreochromis mossambicus (Mozambique tilapia)		71
130	Crotalus viridis viridis		244
131	Agkistrodon acutus		71
132	Oncorhynchus mykiss		71
133	Colletotrichum lindemuthianum		71
134	Bacteriophage phi-29		71
135	Human cytomegalovirus		71
136	Bacillus amyloliquefaciens		254
138	Hepititis E Virus	n/a	254
139	Pseudomonas sp. MIS38	n/a	254
140	Hepatitis C virus	n/a	254
141	Pseudomonas fluorescens	n/a	254
142	Pseudomonas fluorescens	n/a	254
143	Pseudomonas fluorescens	n/a	254
144	Saccharomyces cerevisiae	n/a	254
145	Streptomyces avidinii	n/a	254
146	Leishmania donovani	n/a	254
147	Muscari armeniacum L.	n/a	254
148	Yersinia enterocolitica	n/a	254
149	Bombyx mori	n/a	71
150	comamonas acidovorans	n/a	254
151	Comamonas acidovorans	n/a	254
152	Micrococcus luteus	n/a	254
153	Physcomitrella patens	n/a	254
154	Sparus aurata (Gilthead seabream)	n/a	254
155	De novo designed protein	n/a	71
156	Bovine Leukemia Virus	n/a	254
157	Bacteriophage T4	n/a	254
158	Boophilus microplus	n/a	254
159	Thermus thermophilus	n/a	71
160	Thermococcus sp.B1001	n/a	71
161	Fasciola gigantica	n/a	71
162	Schistosoma japonicum	n/a	71
163	Borrelia burgdorferi	n/a	254
164	Sulfolobus shibatae	n/a	254
165	Oryza sativa	n/a	254
166	Haloarcula marismortui	n/a	254
167	Bacteriophage P22	n/a	254
168	Cysticercus cellulosae	n/a	71
169	Orientia tsutsugamushi/Rickettsia tsutsugamushi	n/a	71
170	Burkholderia cepacia KWI-56	n/a	71
171	Nostoc ellipsosporum (Cyanobacterium)	n/a	71
172	Haloferax volcanii	n/a	71
174	Plasmodium yoelii	n/a	71
175	Pentadiplandra brazzeana	n/a	71
176	Schizosaccharomyces pombe	n/a	71
177	Bungarus multicinctus (Many-banded krait)	n/a	71
178	Clostridium botulinum	n/a	71
179	Clostridium tetanomorphum	n/a	71
180	Clostridium tetanomorphum	n/a	71
181	Clostridium tetanomorphum	n/a	71
182	Lingulodinium polyedrum	n/a	22
183	 Synechococcus sp. (strain WH8102)	n/a	876
184	NF-kappa-B/REL/DORSAL transcription factors, C- te	n/a	996
185	Agrobacterium radiobacter	n/a	996
186	goldfish	n/a	1037
187	Cauliflower Mosaic Virus	n/a	1037
188	Lumbricus terrestris	n/a	22
189	Hen	n/a	1037
190	Trichosanthes kirilowii	n/a	1037
191	chinese cobra Nanja atra	n/a	1037
192	Dolichos biflorus seeds	n/a	1037
193	Dolichos biflorus seeds	n/a	1037
194	Dolichos biflorus seeds	n/a	1037
195	Dolichos biflorus seeds	n/a	1037
196	Dendrobium officinale	n/a	1037
197	Renilla reniformis (Sea pansy)	n/a	1037
198	Corn	n/a	1037
199	Pea seed	n/a	1037
200	Aspergillus niger	n/a	1037
217	Toxoplasma gondii	n/a	1037
218	Chlamydolphila pneumoniae	n/a	1037
219	Staphylococcus sp.	n/a	1037
220	S. cerevisiae	n/a	1037
221	Hahella chejuensis	n/a	1037
222	Streptococcus equisimilis\t	n/a	1037
223	Human SARS coronavirus	n/a	1037
224	Vibrio cholerae	n/a	1037
225	 Goose (Anser anser anser)	n/a	1037
226	Rana pipiens (Northern leopard frog)\t	n/a	1037
227	Xanthomonas axonopodis pv. citri\t	n/a	1037
228	Firefly (Luciola lateralis)	n/a	1037
229	Mustela vison (American mink) \t	n/a	1037
230	porcine	n/a	1037
231	Beauveria bassiana\t	n/a	1037
232	Drosophila melanogaster (Fruit fly)	n/a	1037
233	Leishmania infantum	n/a	1037
234	Sesamum indicum (Oriental sesame) (Gingelly)\t	n/a	1037
235	Simian rotavirus	n/a	1037
236	Salmonella typhimurium	n/a	1037
237	Viral hemorrhagic septicemia virus	n/a	1037
238	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm	n/a	1037
239	Agkistrodon halys pallas (Chinese water mocassin)	n/a	1037
240	Phleum pratense (Common timothy)\t	n/a	1037
241	Paracoccidioides brasiliensis\t	n/a	1037
242	Moorella thermoacetica (Clostridium thermoaceticum	n/a	1037
243	Haemonchus contortus (Barber pole worm)\t	n/a	1037
244	Triticum aestivum (Wheat)\t	n/a	1037
245	Trichosurus vulpecula (Brush-tailed possum)\t	n/a	1037
246	Solanum chacoense (Chaco potato)\t	n/a	1037
247	Rhodospirillum rubrum\t	n/a	1037
248	Halobacterium mediterranei (Haloferax mediterranei	n/a	1037
249	Galanthus nivalis (Common snowdrop)\t	n/a	1037
250	Solanum nigrum (Black nightshade)\t	n/a	1037
251	yeast (Pichia pastoris)	n/a	1037
252	Oncorhynchus masou (Cherry salmon) (Masu salmon)\t	n/a	1037
253	Phyllomedusa sauvagei (Sauvage\\'s leaf frog)	n/a	1037
254	Armoracia rusticana (Horseradish) (Armoracia lapha	n/a	1037
255	Pyrococcus horikoshii	n/a	1037
256	Pyrococcus horikoshii	n/a	1037
257	Pyrococcus horikoshii	n/a	1037
